Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD30","7","55",".47252290322559903","-2.187135537243952","-1.4857965060317182","","",".31213722892542456","-.70133903121223384","1.6268227027460518","1.4675464986044127",".24364947380011812","","","46.263287078550505","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD31","4","58","1.4228777762848708",".31801718884109476","-1.6948418163416648","","",".01918166647025615","2.0128590051827597",".98228856803171072","1.4337878331408123",".0078133937128232987","","","23.440181138469899","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD32","3","59",".64849871486969535","-.64763407201289536","-1.6116246504476863","","",".16281768074528061",".96399057843479097",".81386871514781067","1.5043351774374998",".27757972247130297","","","46.263287078550505","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD34","19","43",".49125081394503028","-1.0665185652562119","-1.7852303221531196","","",".058135290970747017",".71871175689690769","1.2360261593237374","1.5501664334294873",".079599528364931948","","","37.168666562269124","LUAD","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaLUAD35","5","57",".13171188289128208","-1.3833089443686228","-1.5809159977299836","","",".80084458714954276",".19760705336136075","1.5939529139611286","1.4933834600877638",".77861523331203197","","","64.451675678683188","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","ARID1A_mut","3","48",".83035132375566889","-.42546100066257947","-2.420616956710083","","",".10006309963064214","1.9951559560475036","1.3219040680626235","2.4381743361369281",".16922658434246024","","","14.912656489090054","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","EGFR_mut","5","46",".072156338977727039","-2.4626713882230464","-2.2859269561512279","","",".89901709960546095","-.17674443207181856","2.8404253585517258","2.4116477217096688",".87884355947905435","","","26.740112772880977","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","KRAS_mut","18","33",".48661566660887795","-3.0538652534826478","-1.8938309806480014","","",".10714821441239784","-1.1600342728346464","2.4047270073910578","2.3727334296252525",".10315799007475998","","","11.569808292382081","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","SMARCA4_mut","11","40",".23224748246269811","-2.7474395323578094","-2.1811040517033953","","",".44531214116764528","-.56633548065441408","2.0115952049195203","2.5364151569114686",".49834398414302516","","","23.063294592774337","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","STK11_mut","8","43",".75000865008048034","-3.7958593377523031","-2.0255609819082161","","",".10043175491259247","-1.770298355844087","2.555258784816508","2.3263024172518048",".057170984264886156","","","9.4460705543673278","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","SVEP1_mut","3","48",".51337735971708209","-1.1283301019961451","-2.376687637876735","","",".47859934442263002","1.2483575358805898","2.4860572191221468","2.4293148424063147",".39253439253226541","","","20.903085681973597","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","TP53_mut","40","11",".3070722043166943","-2.4641943832604958","-1.7180201448774441","","",".35102973404426885","-.74617423838305164","2.4782557228144801","2.2316606942771586",".37149650719635696","","","20.903085681973597","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD1","31","20",".062666311442429179","-2.2430740675243217","-2.3965350415408868","","",".81831580368580359",".15346097401656511","2.6663145593188617","2.0592750453353097",".82794961305270942","","","26.740112772880977","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD2","5","46",".88506523890016131","-.41430097855754794","-2.5085759137235648","","",".064952012779549428","2.094274935166017","1.8780721784699381","2.4048395360754999",".066122493880571287","","","9.4460705543673278","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD3","9","42",".19214228631893474","-2.6898604059639761","-2.220410792152284","","",".64297827837115695","-.46944961381169215","2.7396528873235897","2.3811042108407885",".60326305376052924","","","26.228828424370842","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD5","4","47",".44489631286568698","-3.3003857464782955","-2.2183926369820965","","",".33495618517847231","-1.081993109496199","1.8390574207166137","2.4657347707914585",".39715862795749823","","","20.903085681973597","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD6","4","47",".22067596334258827","-1.8059027836286594","-2.3455826763735548","","",".53779354975627158",".53967989274489536","1.4522972035630699","2.4966665284388596",".67364558680672149","","","26.740112772880977","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD7","4","47",".70535799943120525","-.73962726458131978","-2.436329529058435","","",".18644759874556527","1.6967022644771153","1.9863137883679558","2.4302736856852349",".18186472676827797","","","14.912656489090054","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD10","6","45",".11696944578444647","-2.05057575716783","-2.3369453862458829","","",".79347997934904524",".28636962907805286","2.4098393745500202","2.4525690198254639",".78895629970364745","","","26.740112772880977","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD11","9","42",".74772970037725572","-.85458208439383165","-2.6136847182030292","","",".03836078121964015","1.7591026338091975","2.0093127036516445","2.413887568483315",".047210383704716516","","","9.4460705543673278","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD12","3","48",".26501126240846468","-1.6933898990630081","-2.3413714005600563","","",".57451439471752153",".64798150149704825","1.6438052443267706","2.4734557737983565",".65805836695537145","","","26.740112772880977","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD13","5","46",".12751891705739346","-2.5848419770102353","-2.2726475443265337","","",".81045103378604799","-.31219443268370162","2.634745238442306","2.4309480466697262",".78768005841714839","","","26.740112772880977","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD14","6","45",".43645330821965744","-3.2372219951207306","-2.1787258878521629","","",".39460174740444459","-1.0584961072685677","2.693419290874933","2.3928435768230032",".3201997950577779","","","20.012487191111124","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD15","5","46",".62030641935515674","-.95611645682880475","-2.4496829269549498","","",".24780846863490616","1.4935664701261451","2.4200205105664261","2.406697862775669",".19386453435817064","","","14.912656489090054","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD16","5","46",".90265430340261643","-.37935640250887187","-2.5123742372071165","","",".14725007630706088","2.1330178346982445","2.6418773821988708","2.3366564193485488",".061091062682147354","","","9.4460705543673278","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD17","4","47",".056251508069550024","-2.4302494984712109","-2.2924467857486572","","",".84996859771228039","-.13780271272255362","1.1840543751247263","2.5102355800393101",".91443588491982053","","","26.895173085877076","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD18","6","45",".064614253493825796","-2.4429071188022493","-2.2846345380279605","","",".81101191076812307","-.15827258077428885","1.281571535112815","2.5485745171754672",".88242372150507198","","","26.740112772880977","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD19","5","46",".11420295976901021","-2.555475000777649","-2.2758396069605102","","",".84207002206968029","-.27963539381713876","2.859595591031983","2.4086564333372129",".80938581518911423","","","26.740112772880977","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD21","5","46",".53685425165328005","-1.1323157003042885","-2.4305308352728319","","",".33358494428958074","1.2982151349685433","2.5816619831413612","2.4031201424643078",".25979530814748208","","","18.556807724820153","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD22","6","45",".12037661566128383","-2.0432268822335478","-2.3379252362371208","","",".65260903618013333",".29469835400357303","1.2550368205912268","2.5486163440508602",".7829652086780976","","","26.740112772880977","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD23","4","47",".84281017871318464","-4.1573337838652922","-2.1454608891193736","","",".1328189868444267","-2.0118728947459186","1.9875590551565412","2.4108590393518137",".11204634398025774","","","11.569808292382081","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD25","3","48",".65162539444861156","-.81870350802931446","-2.396039299999662","","",".070182775404441011","1.5773357919703477",".93601786719719937","2.4640297001100859",".27889174138998729","","","18.59278275933249","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD27","13","38",".51456937475381803","-3.2189569809515044","-1.9899883203079516","","",".15821244214586866","-1.2289686606435528","2.7003065035929854","2.2780106022466793",".11569808292382079","","","11.569808292382081","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD28","8","43",".25713099381255983","-2.8320173053058575","-2.2048804298052294","","",".52663099956112447","-.62713687550062813","2.4887176995444942","2.430589267114351",".50739248104103529","","","23.063294592774337","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD29","6","45",".082990734738082189","-2.4825983660844027","-2.2793423717236738","","",".89507253536283171","-.20325599436072883","3.5086056138857646","2.2980459840466212",".84935145052706651","","","26.740112772880977","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD30","6","45",".84336998988811263","-4.0602012555635651","-2.0689953197931179","","",".016438251738994318","-1.9912059357704472","1.4220363483238496","2.445001246370309",".05808333982131092","","","9.4460705543673278","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD31","4","47","1.097155640415058",".068920393554805268","-2.5051420957083179","","",".022908130611801514","2.574062489263123","1.3824991381708565","2.3955417697731081",".040305251245917502","","","9.4460705543673278","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD34","14","37",".21140824450985093","-1.929207719292495","-2.4447861852426156","","",".53164736444083927",".51557846595012058","2.6665312536557435","2.3511226206813598",".50363333597291493","","","23.063294592774337","LUAD","GDSC2"
"Vinblastine","1004","Microtubule destabiliser","Mitosis","cnaLUAD35","3","48","2.2823351039311932","2.312333781025314","-2.5917291305655756","","",".00096142405282608943","4.9040629115908896",".83212013444001265","2.1872196430339548",".00035902215933486141","","",".35902215933486148","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","ARID1A_mut","3","48",".60681795321990939","5.0227967688067352","4.107028078727029","","",".47058226962646743",".91576869007970618","1.7897172184271422","1.4960258533574882",".31289881606708358","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","EGFR_mut","5","46",".52591152232014704","4.8752756223053222","4.0832469559519788","","",".25130648423043195",".79202866635334335","1.2810695767480882","1.5244005492378458",".26950873617310594","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","KRAS_mut","18","33",".34226204360074952","3.8277578016037586","4.3426090198924232","","",".24423124022168827","-.51485121828866465","1.4608998084868816","1.5267948371152356",".24843275285204794","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","SMARCA4_mut","11","40",".17606092856620084","3.95087831006134","4.2186519168660723","","",".68284090626976801","-.26777360680473228","1.9984941927825151","1.3719354106678494",".60738827402812312","","","70.083262387860387","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","STK11_mut","8","43",".26729014697825515","3.8188836873282002","4.2245271764346972","","",".47829230406879886","-.40564348910649706","1.4121207578617501","1.5344922191054895",".49084261542679575","","","65.60167441431382","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","SVEP1_mut","3","48",".72042355834961758","5.1798322562221308","4.0972133607635675","","",".10424962814045874","1.0826188954585634",".73992266435733367","1.5267831477628115",".23187347292990565","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","TP53_mut","40","11",".20914692606657631","4.0923646244066472","4.4101048280956094","","",".49421042927130532","-.31774020368896227","1.5775710273764965","1.2662134534483629",".54184770031662177","","","67.730962539577746","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD1","31","20",".054166797075679514","4.1932801663085417","4.1107026464876411","","",".84538330043605514",".082577519820900669","1.6192280273145763","1.3615893514149402",".85098128412801877","","","82.353027496259912","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD2","5","46",".19947405775731028","4.4347810369594862","4.1311268021852214","","",".61739712738136898",".30365423477426479","1.1790932065320623","1.549104345975304",".67370468002411354","","","73.458084053245315","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD3","9","42",".33559502425764426","3.7429574905018876","4.2504552540666811","","",".32619936406656713","-.50749776356479348","1.3101126356812649","1.5485979148773443",".36537856460710871","","","62.132218257982785","LUAD","GDSC2"
